coverage;latitude;longitude;timeline;nir;evi
MOD13Q1;-21.052293016498044;-49.58880252196232;2018-09-30;2918.0;4142.0
MOD13Q1;-21.052293016498044;-49.58880252196232;2018-10-16;3258.0;4365.0
MOD13Q1;-21.052293016498044;-49.58880252196232;2018-11-01;3369.0;4559.0
MOD13Q1;-21.052293016498044;-49.58880252196232;2018-11-17;4585.0;6002.0
MOD13Q1;-21.052293016498044;-49.58880252196232;2018-12-03;3768.0;5027.0
MOD13Q1;-21.052293016498044;-49.58880252196232;2018-12-19;4426.0;5501.0
MOD13Q1;-21.052293016498044;-49.58880252196232;2019-01-01;3420.0;4781.0
MOD13Q1;-21.052293016498044;-49.58880252196232;2019-01-17;3234.0;4813.0
MOD13Q1;-21.052293016498044;-49.58880252196232;2019-02-02;3159.0;4133.0
MOD13Q1;-21.052293016498044;-49.58880252196232;2019-02-18;3004.0;4460.0
MOD13Q1;-21.052293016498044;-49.58880252196232;2019-03-06;3554.0;4802.0
MOD13Q1;-21.052293016498044;-49.58880252196232;2019-03-22;3133.0;4194.0
MOD13Q1;-21.052293016498044;-49.58880252196232;2019-04-07;3756.0;3921.0
MOD13Q1;-21.052293016498044;-49.58880252196232;2019-04-23;3027.0;2381.0
MOD13Q1;-21.052293016498044;-49.58880252196232;2019-05-09;3062.0;2887.0
MOD13Q1;-21.052293016498044;-49.58880252196232;2019-05-25;2548.0;2736.0
MOD13Q1;-21.052293016498044;-49.58880252196232;2019-06-10;3175.0;3434.0
MOD13Q1;-21.052293016498044;-49.58880252196232;2019-06-26;2632.0;3003.0
MOD13Q1;-21.052293016498044;-49.58880252196232;2019-07-12;2844.0;2872.0
MOD13Q1;-21.052293016498044;-49.58880252196232;2019-07-28;2656.0;2576.0
MOD13Q1;-21.052293016498044;-49.58880252196232;2019-08-13;3026.0;3319.0
MOD13Q1;-21.052293016498044;-49.58880252196232;2019-08-29;2956.0;3263.0
MOD13Q1;-21.052293016498044;-49.58880252196232;2019-09-14;3042.0;2961.0
MOD13Q1;-21.052293016498044;-49.58880252196232;2019-09-30;2931.0;3793.0
